Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha
Oilfield;W1;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W9;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W3;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W4;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W5;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;Pi;01.12.2016;166.2;0;0;
Oilfield;AQ;Carbonate;;Bwi;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;Boi;01.12.2016;1.013;0;0;
Oilfield;AQ;Carbonate;;cw;01.12.2016;4.00E-05;0;0;
Oilfield;AQ;Carbonate;;co;01.12.2016;8.00E-05;0;0;
Oilfield;AQ;Carbonate;;cf;01.12.2016;5.00E-05;0;0;
Oilfield;AQ;Carbonate;;Swi;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;Vpi;01.12.2016;2.00E+07;1.00E+04;1.00E+10;
Oilfield;AQ;Carbonate;;Tconst;01.12.2016;0;0;0;
Oilfield;AQ;Carbonate;;Prod_index;01.12.2016;1;0.001;1;
Oilfield;AQ;Carbonate;;Inj_index;01.12.2016;3;0.001;5;
Oilfield;AQ;Carbonate;;Frac_inj;01.12.2016;1;0;1;
Oilfield;AQ;Carbonate;;Min_Pres;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;Max_Pres;01.12.2016;500;0;0;
Oilfield;AQ;Carbonate;;muw;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;muo;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;krw_max;01.12.2016;1;0;0;
Oilfield;AQ;Carbonate;;kro_max;01.12.2016;1;0;0;
Oilfield;W2;Carbonate;;Prod_index;01.11.2021;1;0.001;1;
Oilfield;W5;Carbonate;;Prod_index;01.03.2020;1;0.001;1;
