Field;Tank;Reservoir;Neighb;Parameter;Date;Init_value;Min_value;Max_value;alpha;Calc_value
Oilfield;W5;Carbonate;W6;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.27721130775999
Oilfield;W5;Carbonate;W9;Tconn;01.12.2016;10.0;0.0;300.0;1.0;2.0525956171963262e-32
Oilfield;W6;Carbonate;W7;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.5432220395616678
Oilfield;W6;Carbonate;W8;Tconn;01.12.2016;10.0;0.0;300.0;1.0;2.798751016666189
Oilfield;W6;Carbonate;W9;Tconn;01.12.2016;10.0;0.0;300.0;1.0;1.529823674477606
Oilfield;W7;Carbonate;W8;Tconn;01.12.2016;10.0;0.0;300.0;1.0;2.065449194358858e-13
Oilfield;W8;Carbonate;W9;Tconn;01.12.2016;10.0;0.0;300.0;1.0;0.5451785483706165
Oilfield;AQ;Carbonate;AQ;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W1;Carbonate;W1;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W2;Carbonate;W2;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W3;Carbonate;W3;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W4;Carbonate;W4;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W5;Carbonate;W5;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W6;Carbonate;W6;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W7;Carbonate;W7;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W8;Carbonate;W8;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;W9;Carbonate;W9;Tconst;01.12.2016;0.0;0.0;0.0;;0.0
Oilfield;AQ;Carbonate;AQ;Vpi;01.12.2016;2.0e7;10000.0;1.0e10;;1.6534885465397915e8
Oilfield;W1;Carbonate;W1;Vpi;01.12.2016;679124.4091;0.0;0.0;;679124.4091
Oilfield;W2;Carbonate;W2;Vpi;01.12.2016;492571.25;0.0;0.0;;492571.25
Oilfield;W3;Carbonate;W3;Vpi;01.12.2016;244740.8;0.0;0.0;;244740.8
Oilfield;W4;Carbonate;W4;Vpi;01.12.2016;156094.0909;0.0;0.0;;156094.0909
Oilfield;W5;Carbonate;W5;Vpi;01.12.2016;620339.2973;0.0;0.0;;620339.2973
Oilfield;W6;Carbonate;W6;Vpi;01.12.2016;97532.35088;0.0;0.0;;97532.35088
Oilfield;W7;Carbonate;W7;Vpi;01.12.2016;312973.8936;0.0;0.0;;312973.8936
Oilfield;W8;Carbonate;W8;Vpi;01.12.2016;585589.037;0.0;0.0;;585589.037
Oilfield;W9;Carbonate;W9;Vpi;01.12.2016;792049.1154;0.0;0.0;;792049.1154
Oilfield;AQ;Carbonate;AQ;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W1;Carbonate;W1;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W2;Carbonate;W2;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W3;Carbonate;W3;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W4;Carbonate;W4;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W5;Carbonate;W5;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W6;Carbonate;W6;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W7;Carbonate;W7;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W8;Carbonate;W8;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;W9;Carbonate;W9;cf;01.12.2016;5.0e-5;0.0;0.0;;5.0e-5
Oilfield;AQ;Carbonate;AQ;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W1;Carbonate;W1;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W2;Carbonate;W2;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W3;Carbonate;W3;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W4;Carbonate;W4;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W5;Carbonate;W5;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W6;Carbonate;W6;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W7;Carbonate;W7;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W8;Carbonate;W8;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;W9;Carbonate;W9;co;01.12.2016;8.0e-5;0.0;0.0;;8.0e-5
Oilfield;AQ;Carbonate;AQ;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W1;Carbonate;W1;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W2;Carbonate;W2;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W3;Carbonate;W3;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W4;Carbonate;W4;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W5;Carbonate;W5;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W6;Carbonate;W6;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W7;Carbonate;W7;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W8;Carbonate;W8;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;W9;Carbonate;W9;cw;01.12.2016;4.0e-5;0.0;0.0;;4.0e-5
Oilfield;AQ;Carbonate;AQ;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W4;Carbonate;W4;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W5;Carbonate;W5;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W6;Carbonate;W6;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W7;Carbonate;W7;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W8;Carbonate;W8;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W9;Carbonate;W9;kro_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;AQ;Carbonate;AQ;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W4;Carbonate;W4;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W5;Carbonate;W5;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W6;Carbonate;W6;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W7;Carbonate;W7;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W8;Carbonate;W8;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W9;Carbonate;W9;krw_max;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;AQ;Carbonate;AQ;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W4;Carbonate;W4;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W5;Carbonate;W5;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W6;Carbonate;W6;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W7;Carbonate;W7;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W8;Carbonate;W8;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W9;Carbonate;W9;muo;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;AQ;Carbonate;AQ;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W1;Carbonate;W1;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W2;Carbonate;W2;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W3;Carbonate;W3;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W4;Carbonate;W4;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W5;Carbonate;W5;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W6;Carbonate;W6;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W7;Carbonate;W7;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W8;Carbonate;W8;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;W9;Carbonate;W9;muw;01.12.2016;1.0;0.0;0.0;;1.0
Oilfield;AQ;Carbonate;AQ;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W1;Carbonate;W1;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W2;Carbonate;W2;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W3;Carbonate;W3;Frac_inj;01.12.2016;1.0;0.0;1.0;;0.8065588931685947
Oilfield;W4;Carbonate;W4;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W5;Carbonate;W5;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W6;Carbonate;W6;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W7;Carbonate;W7;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W8;Carbonate;W8;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;W9;Carbonate;W9;Frac_inj;01.12.2016;1.0;0.0;1.0;;1.0
Oilfield;AQ;Carbonate;AQ;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W1;Carbonate;W1;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W2;Carbonate;W2;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W3;Carbonate;W3;Inj_index;01.12.2016;3.0;0.001;5.0;;1.5415062204936105
Oilfield;W4;Carbonate;W4;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W5;Carbonate;W5;Inj_index;01.12.2016;3.0;0.001;5.0;;1.5945878201030292
Oilfield;W6;Carbonate;W6;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W7;Carbonate;W7;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W8;Carbonate;W8;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;W9;Carbonate;W9;Inj_index;01.12.2016;3.0;0.001;5.0;;3.0
Oilfield;AQ;Carbonate;AQ;Geom_factor;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W1;Carbonate;W1;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.6162857334151497
Oilfield;W2;Carbonate;W2;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.30931380030445876
Oilfield;W2;Carbonate;W2;Geom_factor;01.11.2021;1.0;0.001;1.0;;0.6972623407987735
Oilfield;W3;Carbonate;W3;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.4468231836781651
Oilfield;W4;Carbonate;W4;Geom_factor;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W5;Carbonate;W5;Geom_factor;01.12.2016;1.0;0.001;1.0;;1.0
Oilfield;W5;Carbonate;W5;Geom_factor;01.03.2020;1.0;0.001;1.0;;0.1902529812876841
Oilfield;W6;Carbonate;W6;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.44611105965022185
Oilfield;W7;Carbonate;W7;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.2974835790213985
Oilfield;W8;Carbonate;W8;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.9459937468123438
Oilfield;W9;Carbonate;W9;Geom_factor;01.12.2016;1.0;0.001;1.0;;0.7755539574399483
